sample_id,split,src_dir,dst_dir,file_count,total_bytes,seed,created_at,mode
E138,train,backend\data\Srilankan_OCT\DataFiles\E138,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E138,8,5026352,42,2026-03-21T16:18:00,junction
E497,train,backend\data\Srilankan_OCT\DataFiles\E497,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E497,5,3480408,42,2026-03-21T16:18:00,junction
E105,train,backend\data\Srilankan_OCT\DataFiles\E105,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E105,9,8019958,42,2026-03-21T16:18:00,junction
E361,train,backend\data\Srilankan_OCT\DataFiles\E361,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E361,9,49762470,42,2026-03-21T16:18:00,junction
E078,train,backend\data\Srilankan_OCT\DataFiles\E078,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E078,9,92512506,42,2026-03-21T16:18:00,junction
E013,train,backend\data\Srilankan_OCT\DataFiles\E013,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E013,8,5150788,42,2026-03-21T16:18:00,junction
E538,train,backend\data\Srilankan_OCT\DataFiles\E538,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E538,5,3543024,42,2026-03-21T16:18:00,junction
E647,train,backend\data\Srilankan_OCT\DataFiles\E647,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E647,8,5157142,42,2026-03-21T16:18:00,junction
E016,train,backend\data\Srilankan_OCT\DataFiles\E016,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E016,9,8020134,42,2026-03-21T16:18:00,junction
E844,train,backend\data\Srilankan_OCT\DataFiles\E844,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E844,9,7989562,42,2026-03-21T16:18:00,junction
E543,train,backend\data\Srilankan_OCT\DataFiles\E543,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E543,12,51437538,42,2026-03-21T16:18:00,junction
E985,train,backend\data\Srilankan_OCT\DataFiles\E985,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E985,5,3578578,42,2026-03-21T16:18:00,junction
E796,train,backend\data\Srilankan_OCT\DataFiles\E796,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E796,9,8033540,42,2026-03-21T16:18:00,junction
E092,train,backend\data\Srilankan_OCT\DataFiles\E092,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E092,9,8033166,42,2026-03-21T16:18:00,junction
E648,train,backend\data\Srilankan_OCT\DataFiles\E648,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E648,5,46255808,42,2026-03-21T16:18:00,junction
E005,train,backend\data\Srilankan_OCT\DataFiles\E005,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E005,12,9014142,42,2026-03-21T16:18:00,junction
E315,train,backend\data\Srilankan_OCT\DataFiles\E315,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E315,5,46257008,42,2026-03-21T16:18:00,junction
E086,train,backend\data\Srilankan_OCT\DataFiles\E086,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E086,9,8036744,42,2026-03-21T16:18:00,junction
E948,train,backend\data\Srilankan_OCT\DataFiles\E948,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E948,20,59356704,42,2026-03-21T16:18:00,junction
E696,train,backend\data\Srilankan_OCT\DataFiles\E696,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E696,5,46256020,42,2026-03-21T16:18:00,junction
E279,train,backend\data\Srilankan_OCT\DataFiles\E279,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E279,5,46256914,42,2026-03-21T16:18:00,junction
E847,train,backend\data\Srilankan_OCT\DataFiles\E847,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E847,12,51319356,42,2026-03-21T16:18:00,junction
E760,train,backend\data\Srilankan_OCT\DataFiles\E760,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E760,9,7058230,42,2026-03-21T16:18:00,junction
E039,val,backend\data\Srilankan_OCT\DataFiles\E039,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E039,13,54317862,42,2026-03-21T16:18:00,junction
E841,val,backend\data\Srilankan_OCT\DataFiles\E841,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E841,17,100530520,42,2026-03-21T16:18:00,junction
E354,val,backend\data\Srilankan_OCT\DataFiles\E354,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E354,25,108375722,42,2026-03-21T16:18:00,junction
E770,val,backend\data\Srilankan_OCT\DataFiles\E770,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E770,8,5166982,42,2026-03-21T16:18:00,junction
E100,val,backend\data\Srilankan_OCT\DataFiles\E100,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E100,9,7995000,42,2026-03-21T16:18:00,junction
E929,val,backend\data\Srilankan_OCT\DataFiles\E929,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E929,8,5013004,42,2026-03-21T16:18:00,junction
E671,val,backend\data\Srilankan_OCT\DataFiles\E671,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E671,12,51385284,42,2026-03-21T16:18:00,junction
E907,val,backend\data\Srilankan_OCT\DataFiles\E907,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E907,13,54063866,42,2026-03-21T16:18:00,junction
E462,val,backend\data\Srilankan_OCT\DataFiles\E462,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E462,5,46256942,42,2026-03-21T16:18:00,junction
E149,val,backend\data\Srilankan_OCT\DataFiles\E149,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E149,9,8072008,42,2026-03-21T16:18:00,junction
E701,val,backend\data\Srilankan_OCT\DataFiles\E701,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E701,9,92513732,42,2026-03-21T16:18:00,junction
E024,val,backend\data\Srilankan_OCT\DataFiles\E024,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E024,5,3529638,42,2026-03-21T16:18:00,junction
E727,val,backend\data\Srilankan_OCT\DataFiles\E727,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E727,5,3529044,42,2026-03-21T16:18:00,junction
E612,val,backend\data\Srilankan_OCT\DataFiles\E612,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E612,5,46256764,42,2026-03-21T16:18:00,junction
E593,val,backend\data\Srilankan_OCT\DataFiles\E593,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E593,9,7922468,42,2026-03-21T16:18:00,junction
E652,val,backend\data\Srilankan_OCT\DataFiles\E652,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E652,9,49788358,42,2026-03-21T16:18:00,junction
E814,val,backend\data\Srilankan_OCT\DataFiles\E814,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E814,5,46255570,42,2026-03-21T16:18:00,junction
E456,val,backend\data\Srilankan_OCT\DataFiles\E456,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E456,5,46256658,42,2026-03-21T16:18:00,junction
E028,val,backend\data\Srilankan_OCT\DataFiles\E028,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E028,13,11498424,42,2026-03-21T16:18:00,junction
E816,val,backend\data\Srilankan_OCT\DataFiles\E816,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E816,5,46257082,42,2026-03-21T16:18:00,junction
E587,test,backend\data\Srilankan_OCT\DataFiles\E587,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E587,8,5080148,42,2026-03-21T16:18:00,junction
E537,test,backend\data\Srilankan_OCT\DataFiles\E537,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E537,13,11607756,42,2026-03-21T16:18:00,junction
E622,test,backend\data\Srilankan_OCT\DataFiles\E622,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E622,15,10195436,42,2026-03-21T16:18:00,junction
E551,test,backend\data\Srilankan_OCT\DataFiles\E551,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E551,13,54318608,42,2026-03-21T16:18:00,junction
E707,test,backend\data\Srilankan_OCT\DataFiles\E707,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E707,8,5141372,42,2026-03-21T16:18:00,junction
E352,test,backend\data\Srilankan_OCT\DataFiles\E352,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E352,5,3538334,42,2026-03-21T16:18:00,junction
E655,test,backend\data\Srilankan_OCT\DataFiles\E655,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E655,20,59403232,42,2026-03-21T16:18:00,junction
E597,test,backend\data\Srilankan_OCT\DataFiles\E597,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E597,17,15870772,42,2026-03-21T16:18:00,junction
E741,test,backend\data\Srilankan_OCT\DataFiles\E741,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E741,5,3489108,42,2026-03-21T16:18:00,junction
E002,test,backend\data\Srilankan_OCT\DataFiles\E002,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E002,16,13152200,42,2026-03-21T16:18:00,junction
E074,test,backend\data\Srilankan_OCT\DataFiles\E074,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E074,8,5048874,42,2026-03-21T16:18:00,junction
E931,test,backend\data\Srilankan_OCT\DataFiles\E931,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E931,8,5013350,42,2026-03-21T16:18:00,junction
E376,test,backend\data\Srilankan_OCT\DataFiles\E376,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E376,5,46257436,42,2026-03-21T16:18:00,junction
E902,test,backend\data\Srilankan_OCT\DataFiles\E902,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E902,17,100490816,42,2026-03-21T16:18:00,junction
E721,test,backend\data\Srilankan_OCT\DataFiles\E721,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E721,5,46257238,42,2026-03-21T16:18:00,junction
E787,test,backend\data\Srilankan_OCT\DataFiles\E787,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E787,5,46256636,42,2026-03-21T16:18:00,junction
E875,test,backend\data\Srilankan_OCT\DataFiles\E875,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E875,13,54241084,42,2026-03-21T16:18:00,junction
E101,test,backend\data\Srilankan_OCT\DataFiles\E101,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E101,9,7981360,42,2026-03-21T16:18:00,junction
E318,test,backend\data\Srilankan_OCT\DataFiles\E318,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E318,5,46257042,42,2026-03-21T16:18:00,junction
E546,test,backend\data\Srilankan_OCT\DataFiles\E546,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E546,9,7963358,42,2026-03-21T16:18:00,junction
E994,test,backend\data\Srilankan_OCT\DataFiles\E994,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E994,17,15859354,42,2026-03-21T16:18:00,junction
E008,test,backend\data\Srilankan_OCT\DataFiles\E008,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E008,12,51397620,42,2026-03-21T16:18:00,junction
E638,test,backend\data\Srilankan_OCT\DataFiles\E638,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E638,5,3522186,42,2026-03-21T16:18:00,junction
E654,test,backend\data\Srilankan_OCT\DataFiles\E654,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E654,17,100514478,42,2026-03-21T16:18:00,junction
E487,test,backend\data\Srilankan_OCT\DataFiles\E487,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E487,8,5105988,42,2026-03-21T16:18:00,junction
E482,test,backend\data\Srilankan_OCT\DataFiles\E482,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E482,8,5125260,42,2026-03-21T16:18:00,junction
E936,test,backend\data\Srilankan_OCT\DataFiles\E936,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E936,4,1000230,42,2026-03-21T16:18:00,junction
E669,test,backend\data\Srilankan_OCT\DataFiles\E669,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E669,9,92513622,42,2026-03-21T16:18:00,junction
E486,test,backend\data\Srilankan_OCT\DataFiles\E486,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E486,8,5104310,42,2026-03-21T16:18:00,junction
E979,test,backend\data\Srilankan_OCT\DataFiles\E979,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E979,5,46257420,42,2026-03-21T16:18:00,junction
E010,test,backend\data\Srilankan_OCT\DataFiles\E010,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E010,5,46256592,42,2026-03-21T16:18:00,junction
E782,test,backend\data\Srilankan_OCT\DataFiles\E782,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E782,5,46256262,42,2026-03-21T16:18:00,junction
E777,test,backend\data\Srilankan_OCT\DataFiles\E777,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E777,5,46256058,42,2026-03-21T16:18:00,junction
E042,test,backend\data\Srilankan_OCT\DataFiles\E042,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E042,13,54316192,42,2026-03-21T16:18:00,junction
E898,test,backend\data\Srilankan_OCT\DataFiles\E898,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E898,12,8636598,42,2026-03-21T16:18:00,junction
E736,test,backend\data\Srilankan_OCT\DataFiles\E736,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E736,16,12919806,42,2026-03-21T16:18:00,junction
E036,test,backend\data\Srilankan_OCT\DataFiles\E036,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E036,17,57857448,42,2026-03-21T16:18:00,junction
E668,test,backend\data\Srilankan_OCT\DataFiles\E668,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E668,9,92513656,42,2026-03-21T16:18:00,junction
E009,test,backend\data\Srilankan_OCT\DataFiles\E009,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E009,9,8043356,42,2026-03-21T16:18:00,junction
E498,test,backend\data\Srilankan_OCT\DataFiles\E498,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E498,9,8012110,42,2026-03-21T16:18:00,junction
E853,test,backend\data\Srilankan_OCT\DataFiles\E853,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E853,5,46256714,42,2026-03-21T16:18:00,junction
E706,test,backend\data\Srilankan_OCT\DataFiles\E706,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E706,8,5134178,42,2026-03-21T16:18:00,junction
E775,test,backend\data\Srilankan_OCT\DataFiles\E775,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E775,12,51424308,42,2026-03-21T16:18:00,junction
E795,test,backend\data\Srilankan_OCT\DataFiles\E795,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E795,5,3518724,42,2026-03-21T16:18:00,junction
E629,test,backend\data\Srilankan_OCT\DataFiles\E629,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E629,8,5103572,42,2026-03-21T16:18:00,junction
E950,test,backend\data\Srilankan_OCT\DataFiles\E950,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E950,12,8619874,42,2026-03-21T16:18:00,junction
E150,test,backend\data\Srilankan_OCT\DataFiles\E150,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E150,8,5158808,42,2026-03-21T16:18:00,junction
E499,test,backend\data\Srilankan_OCT\DataFiles\E499,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E499,9,8027994,42,2026-03-21T16:18:00,junction
E317,test,backend\data\Srilankan_OCT\DataFiles\E317,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E317,5,46256754,42,2026-03-21T16:18:00,junction
E633,test,backend\data\Srilankan_OCT\DataFiles\E633,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E633,5,3497750,42,2026-03-21T16:18:00,junction
E689,test,backend\data\Srilankan_OCT\DataFiles\E689,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E689,5,46257426,42,2026-03-21T16:18:00,junction
E912,test,backend\data\Srilankan_OCT\DataFiles\E912,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E912,9,7762790,42,2026-03-21T16:18:00,junction
E033,test,backend\data\Srilankan_OCT\DataFiles\E033,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E033,13,54308944,42,2026-03-21T16:18:00,junction
E864,test,backend\data\Srilankan_OCT\DataFiles\E864,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E864,5,46256620,42,2026-03-21T16:18:00,junction
E904,test,backend\data\Srilankan_OCT\DataFiles\E904,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E904,9,92513844,42,2026-03-21T16:18:00,junction
E289,test,backend\data\Srilankan_OCT\DataFiles\E289,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E289,5,46256484,42,2026-03-21T16:18:00,junction
E662,test,backend\data\Srilankan_OCT\DataFiles\E662,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E662,5,46257156,42,2026-03-21T16:18:00,junction
E040,test,backend\data\Srilankan_OCT\DataFiles\E040,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E040,13,54323798,42,2026-03-21T16:18:00,junction
E507,test,backend\data\Srilankan_OCT\DataFiles\E507,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E507,5,3397026,42,2026-03-21T16:18:00,junction
E822,test,backend\data\Srilankan_OCT\DataFiles\E822,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E822,5,46255884,42,2026-03-21T16:18:00,junction
E374,test,backend\data\Srilankan_OCT\DataFiles\E374,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E374,5,46257138,42,2026-03-21T16:18:00,junction
E282,test,backend\data\Srilankan_OCT\DataFiles\E282,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E282,5,46257018,42,2026-03-21T16:18:00,junction
E896,test,backend\data\Srilankan_OCT\DataFiles\E896,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E896,8,5140732,42,2026-03-21T16:18:00,junction
E631,test,backend\data\Srilankan_OCT\DataFiles\E631,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E631,9,8045338,42,2026-03-21T16:18:00,junction
E659,test,backend\data\Srilankan_OCT\DataFiles\E659,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E659,5,46256236,42,2026-03-21T16:18:00,junction
E598,test,backend\data\Srilankan_OCT\DataFiles\E598,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E598,16,12924704,42,2026-03-21T16:18:00,junction
E566,test,backend\data\Srilankan_OCT\DataFiles\E566,C:\Users\VICTUS\Desktop\Refracto AI\backend\data\Srilankan_OCT\DataFiles\E566,13,54265098,42,2026-03-21T16:18:00,junction
